Раздел                                                 : 1ba41f88-c2a4-45b9-8cdc-68bd5459d7f7
Обозначение полное                                     : 7f6bf87d-b0f1-469c-987d-6e1f10d663bf
Обозначение                                            : ee9a8bc0-c016-4915-9baa-69b2d8c28786
Наименование                                           : 44bb724a-de07-4fd3-9882-ced1c8425057
X1                                                     : f905e6af-f2b5-4891-b503-b941a43afcb8
Y1                                                     : c8607939-ebb6-4f08-b0fe-62edf750cd0d
Z1                                                     : 03ec21e9-fad3-4af0-a709-742b77d1256b
X2                                                     : 5a235396-0e94-45b1-a521-323caa5043fe
X3                                                     : 4a7ffd4a-7064-49cc-8ea0-a38e3d7706b7
X4                                                     : 7b6c123a-4e6b-4216-8a64-41e442886042
Y2                                                     : ee60f471-2969-459d-b822-a28bb624be14
Y3                                                     : ca5ca4bc-337d-4685-9b46-e392496c3371
Y4                                                     : 7a1a7b8e-c96c-44d9-a21d-445a6fd4f7f0
Z2                                                     : de26504c-bf68-4729-81c4-e835aa3e5369
Z3                                                     : 4750dce6-f864-4eb4-b6a7-932707124bc7
Z4                                                     : 15bb1315-fe7e-4377-9bfb-5cc9c852b881
Включена в план мониторинга                            : a6fbe146-b6cf-4719-b81c-a01a0ef5a1e9
Влияние                                                : 2ed6c680-5cb9-4965-b4be-6c16de9df718
Выражение измерений                                    : da89cbc5-7b62-4cb4-b60c-f2e72d472186
Геометрический элемент                                 : 3277b685-da13-40e7-b449-80871ae7cb5e
Дополнительный тип контроля                            : 042fafd9-ab54-4cfd-8b97-d1ff8b2c920e
Контролируемый параметр                                : f67de09c-fd07-4c4d-94dc-91dcd4c3e368
Направление контроля_1                                 : e1982548-fff3-4c74-996e-c776e3e5970c
Номер операции                                         : 8e476729-7e39-4ed1-968e-465d7d357400
Периметр                                               : d7f66761-5694-4317-8a9e-1dfa7e03f2f9
Связанная контрольная точка 1                          : b2cfcaaa-3981-4d4f-b0be-09ba1ef92122
Связанная контрольная точка 2                          : d7824aa1-fad3-4c74-852d-df57c0f454a5
Тип контроля                                           : 38b1d89d-d054-425f-be46-dde0eab8785b
Тип точки                                              : eff41b83-d467-4595-93dd-d45f2471e23a
Эффект клиента                                         : 5ab3052e-eb2c-4f0d-bcde-b8e9e4aa2235
Верхняя граница допуска                                : a195e7d4-4abb-41c0-bde5-db7726bf0c43
Комментарий к допуску                                  : e2b5c725-2865-4f68-b493-7f2a73e7ed5d
Нижняя граница допуска                                 : b6dbce85-fc91-4f25-9ce4-8dfd209637cd
Номинальное значение                                   : 7362ab96-50fd-4b56-9541-a949c8deba6a
XS1                                                    : 7ee95dc2-027b-4612-93a1-b9d7e31e854e
XS2                                                    : 26152518-8b53-4977-bda4-cd4ec609ea8a
YS1                                                    : 2a0220c7-84a6-415a-834a-99d5514ab910
YS2                                                    : 73633a1b-23b0-4c49-85e8-43fd64dadc1d
ZS1                                                    : 771d28a9-459e-4a3a-91bc-89e319579d6a
ZS2                                                    : a1fba901-a013-4c47-9002-71074190cf1b
